chatGPT|:|<@><#>sensação<@>de<#>insegurança<@>sensação<#>debilidade<@>sensação<#>poder<@>público<#>público<@>de<#>eram<@>características<#>características<@>sensação<#>Estados<@>Unidos<#>EUA<@>de<#>final<@>de<#>século<@>final<#>18<@>século<#>quando<@>final<#>versão<@>aceita<#>a<@>versão<#>palavra<@>sido<#>tinha<@>sido<#>inventada<@>palavra<#>de<@>inventada<#>prática<@>adotada<#>juiz<@>prática<#>Lynch<@>juiz<#>,<@>Lynch<#>condenar<@>Lynch<#>executar<@>condenar<#>adversários<@>executar<#>sem<@>processo<#>processo<@>devido<#>legal<@>processo<#>.<@>foram|:|UDA:0.302<#>DDA: 0.175
DepRel |:|A<@>sensação<@>det<#>sensação<@>características<@>nsubj<#>de<@>insegurança<@>case<#>insegurança<@>sensação<@>nmod<#>e<@>debilidade<@>cc<#>a<@>debilidade<@>det<#>debilidade<@>sensação<@>conj<#>de<@>poder<@>case<#>o<@>poder<@>det<#>poder<@>debilidade<@>nmod<#>público<@>poder<@>amod<#>eram<@>características<@>cop<#>sem<@>dúvida<@>case<#>dúvida<@>características<@>nmod<#>características<@>root<@>root<#>de<@>Estados<@>case<#>os<@>Estados<@>det<#>Estados<@>características<@>nmod<#>Unidos<@>Estados<@>flat<#>de<@>final<@>case<#>o<@>final<@>det<#>final<@>Estados<@>nmod<#>de<@>século<@>case<#>o<@>século<@>det<#>século<@>final<@>nmod<#>18<@>século<@>nummod<#>,<@>características<@>punct<#>quando<@>inventada<@>advmod<#>(<@>versão<@>punct<#>segundo<@>versão<@>case<#>a<@>versão<@>det<#>versão<@>quando<@>obl<#>mais<@>aceita<@>advmod<#>aceita<@>versão<@>acl<#>)<@>versão<@>punct<#>a<@>palavra<@>det<#>palavra<@>inventada<@>nsubj<#>teria<@>inventada<@>aux<#>sido<@>inventada<@>aux<#>inventada<@>características<@>advcl<#>a<@>partir<@>case<#>partir<@>quando<@>obl<#>de<@>prática<@>case<#>a<@>prática<@>det<#>prática<@>partir<@>nmod<#>adotada<@>prática<@>acl<#>por<@>juiz<@>case<#>um<@>juiz<@>det<#>juiz<@>adotada<@>obl<#>Lynch<@>juiz<@>appos<#>,<@>adotada<@>punct<#>de<@>condenar<@>mark<#>condenar<@>prática<@>acl<#>e<@>executar<@>cc<#>executar<@>condenar<@>conj<#>seus<@>adversários<@>det<#>adversários<@>executar<@>obj<#>sem<@>processo<@>case<#>o<@>processo<@>det<#>devido<@>processo<@>amod<#>processo<@>executar<@>obl<#>legal<@>processo<@>amod<#>.<@>características<@>punct
>--<
UDA 0.302
DDA 0.175
det;0.083;0.083;12
nsubj;1.000;0.000;2
case;0.182;0.091;11
nmod;0.286;0.286;7
cc;0.000;0.000;2
conj;1.000;1.000;2
amod;1.000;0.333;3
cop;1.000;1.000;1
root;0.000;0.000;1
flat;1.000;0.000;1
nummod;1.000;1.000;1
punct;0.000;0.000;5
advmod;0.000;0.000;2
obl;0.000;0.000;4
acl;0.667;0.000;3
aux;0.000;0.000;2
advcl;0.000;0.000;1
appos;1.000;1.000;1
mark;0.000;0.000;1
obj;1.000;1.000;1
